mx,my,SRGbb28001400,SRGbb23001000,SRGbb21001600,SRGbb20001800
1700,1200,0.0043881033642125,0.0042662116040955,0.0169429546562652,0.0035348610433934
1700,1400,0.0006029181237187,0.0006029181237187,0.0014470034969251,0.0031351742433377
1700,1600,0.0,0.0,0.0,0.0004897159647404
1700,1680,0.0,0.0,0.0,0.0
1800,1,0.0729787741473885,0.0667779632721202,0.0085857381349868,0.0009539709038874
1800,200,0.079681748010925,0.0746942168388552,0.0110438190238689,0.0007125044531528
1800,400,0.0812477760645237,0.0779266990867038,0.0151820661843197,0.0020163681651049
1800,600,0.0721040189125295,0.0706855791962175,0.0199763593380614,0.0015366430260047
1800,800,0.0564918110610016,0.0541182055542368,0.0259909802990742,0.002492285782103
1800,1000,0.0273893447359297,0.0284294464347625,0.0338610886397781,0.0024269039639431
1800,1200,0.0091689197131773,0.0094040202186434,0.0289173621723286,0.0031738568237921
1800,1400,0.0015312131919905,0.0012956419316843,0.0087161366313309,0.0034157832744405
1800,1600,0.0,0.0,0.0001180776951233,0.0017711654268508
1800,1780,0.0,0.0,0.0,0.0
1900,1,0.0812064965197215,0.0735498839907192,0.0091647331786542,0.0013921113689095
1900,200,0.087162318171323,0.0793119371969522,0.0099284229969983,0.0013853613484183
1900,400,0.0850890466767547,0.078221394482598,0.0121056920032592,0.0025608194622279
1900,600,0.0794236311239193,0.0764265129682997,0.01671469740634,0.0019596541786743
1900,800,0.0674561709044467,0.0654824103099965,0.022059677232091,0.0013932427725531
1900,1000,0.039724636045593,0.0414174472407177,0.0311477259902945,0.0021442275138246
1900,1200,0.0169452181987,0.0185701021355617,0.0314531104921077,0.0027855153203342
1900,1400,0.0024909420289855,0.0028306159420289,0.0176630434782608,0.0022644927536231
1900,1600,0.0009227220299884,0.0009227220299884,0.0014994232987312,0.0033448673587081
1900,1800,0.0,0.0,0.0,0.0003480682213713
1900,1880,0.0,0.0,0.0,0.0001158211721102
2000,1,0.0803226539422858,0.0743012951601908,0.0080663485571461,0.0010224948875255
2000,200,0.087257460569613,0.0815840236014977,0.0103256552819698,0.0015885623510722
