mx,my,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14,SR15,SR16,SR17,SR18,SR19,SR20,SR21,SR22,SR23,SR24,SR25,SR26,SR27,SR28,SR29,SR30,SR31,SR32,SR33,SR34,SR35,SR36,SR37,SR38,SR39,SR40,SR41,SR42,SR43,SR44,SR45,SR46,SR47,SR48,SR49
1200,600,0.0,0.0,0.0,2.384472316276408e-05,0.0,0.0001669130621393,2.384472316276408e-05,0.0004530497400925,2.384472316276408e-05,0.0001192236158138,0.0,0.0002622919547904,0.0006438075253946,0.004339739615623,0.0006676522485573,0.0166197720444465,4.768944632552816e-05,7.153416948829224e-05,4.768944632552816e-05,0.0003576708474414,0.002217559254137,0.0093709762029662,0.0026706089942295,0.0299728170155944,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.384472316276408e-05,0.0,2.384472316276408e-05,0.0,4.768944632552816e-05,2.384472316276408e-05,0.0006199628022318,0.0001907577853021,0.0009537889265105,0.0002861366779531,0.0047212551862272,0.0030759692879965
1200,800,0.0,0.0,0.0,0.0,2.37749934618768e-05,9.50999738475072e-05,0.0,0.0005468248496231,0.0,2.37749934618768e-05,0.0,0.0002377499346187,0.000190199947695,0.0041606238558284,0.0004279498823137,0.0203989443902902,0.0,4.75499869237536e-05,0.0,0.0001426499607712,0.0004041748888519,0.0036137990062052,0.0006181498300087,0.0155012957371436,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7.13249803856304e-05,2.37749934618768e-05,7.13249803856304e-05,0.0,0.00076079979078,7.13249803856304e-05,0.0004992748626994,2.37749934618768e-05,0.0024012743396495,0.0025914742873445
1200,900,0.0,4.767239529950183e-05,2.3836197649750912e-05,0.0002145257788477,2.3836197649750912e-05,0.0003098705694467,4.767239529950183e-05,0.0016923700331323,2.3836197649750912e-05,0.0003098705694467,0.0,0.0010964650918885,0.0001430171858985,0.0067218077372297,0.0004528877553452,0.0346101589874383,2.3836197649750912e-05,4.767239529950183e-05,0.0,0.000286034371797,0.000286034371797,0.0046957309370009,0.0004290515576955,0.0192834838986484,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3836197649750912e-05,0.0,7.150859294925273e-05,0.0,0.000286034371797,2.3836197649750912e-05,0.0010249564989392,4.767239529950183e-05,0.0007865945224417,7.150859294925273e-05,0.0038614640192596,0.0066741353419302
1200,1000,2.3839607123274607e-05,2.3839607123274607e-05,0.0,0.0005006317495887,2.3839607123274607e-05,0.0004052733210956,0.0,0.0027653944262998,0.0,0.0002860752854792,2.3839607123274607e-05,0.001740291319999,9.535842849309844e-05,0.004171931246573,0.0004529525353422,0.0200967888049204,0.0,7.151882136982383e-05,2.3839607123274607e-05,0.0006436693923284,9.535842849309844e-05,0.0029084320690395,0.0002145564641094,0.0135408968460199,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.7679214246549215e-05,0.0,0.000262235678356,2.3839607123274607e-05,0.0002383960712327,0.0,0.001215819963287,0.0,0.0002860752854792,4.7679214246549215e-05,0.0018594893556154,0.0068181276372565
1300,800,0.0,0.0,0.0,2.33089366463102e-05,2.33089366463102e-05,4.661787329262039e-05,0.0,0.0004195608596335,0.0,2.33089366463102e-05,0.0,0.0001864714931704,0.0002097804298167,0.0031700153838981,0.0004894876695725,0.0169222880052212,0.0,0.0,0.0,0.0002097804298167,0.000303016176402,0.0059670877814554,0.0007225770360356,0.0204186285021677,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.33089366463102e-05,0.0,0.0,0.0,9.323574658524078e-05,2.33089366463102e-05,0.0005594144795114,6.992680993893059e-05,0.0006759591627429,0.0002097804298167,0.0037294298634096,0.0026805277143256
1300,900,0.0,2.3300246982618016e-05,0.0,0.0,0.0,0.000116501234913,0.0,0.0006990074094785,0.0,4.660049396523603e-05,2.3300246982618016e-05,0.0001631017288783,0.0001864019758609,0.0035183372943753,0.000302903210774,0.0185003961041987,0.0,4.660049396523603e-05,0.0,0.0001398014818957,0.0002563027168087,0.0040309427279929,0.0003495037047392,0.0150519595507712,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3300246982618016e-05,0.0,4.660049396523603e-05,0.0,0.0001398014818957,2.3300246982618016e-05,0.0008155086443916,2.3300246982618016e-05,0.0006291066685306,0.0,0.0027028286499836,0.0017242182767137
1300,1000,0.0,0.0,0.0,0.0001635093784307,2.3358482632968163e-05,0.0002102263436967,0.0,0.0013547919927121,0.0,0.0001167924131648,0.0,0.0010277732358505,0.0001401508957978,0.0059096961061409,0.0003970942047604,0.0342668940225643,2.3358482632968163e-05,2.3358482632968163e-05,0.0,0.0002335848263296,7.007544789890448e-05,0.0036906402560089,0.0002803017915956,0.0199481441685548,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.3358482632968163e-05,0.0,7.007544789890448e-05,0.0,0.0003036602742285,0.0,0.0014715844058769,0.0,0.0009810562705846,0.0,0.0034103384644133,0.0071710541683212
1300,1100,0.0,0.000140075640846,0.0,0.0004202269225381,2.334594014100948e-05,0.0003501891021151,2.334594014100948e-05,0.0030583181584722,0.0,0.000210113461269,2.334594014100948e-05,0.0017742914507167,0.000140075640846,0.0029882803380492,0.000140075640846,0.0200074707008451,0.0,7.003782042302843e-05,0.0,0.0004435728626791,2.334594014100948e-05,0.002474669654947,0.000163421580987,0.0132604940000933,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.669188028201896e-05,0.0,0.00023345940141,0.0,0.000210113461269,0.0,0.0015875239295886,0.0,0.0002801512816921,4.669188028201896e-05,0.0022178643133959,0.0062100200775085
1400,1,0.0,0.0,0.0,0.0,6.862005077883757e-05,0.0,0.0,0.0,2.2873350259612525e-05,0.0,0.0,0.0,0.0034767492394611,0.0,0.0008463139596056,0.0,2.2873350259612525e-05,0.0,0.0,0.0,0.0088977332509892,0.0,0.0014867677668748,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.574670051922505e-05,0.0,2.2873350259612525e-05,0.0,0.0008920606601248,0.0,0.0001601134518172,0.0,0.0002516068528557
1400,200,0.0,0.0,2.2812300392371565e-05,0.0,0.0004562460078474,9.124920156948626e-05,0.0002965599051008,0.0001596861027466,6.84369011771147e-05,0.0,4.562460078474313e-05,0.0,0.0125695775161967,0.0035130942604252,0.0087142987498859,0.0049958937859293,0.0004106214070626,6.84369011771147e-05,0.0002281230039237,6.84369011771147e-05,0.0667716032484715,0.0112464640934391,0.0404462085956747,0.0178620312072269,0,0,0,0,0,0,0,0,0,0,0,0,2.2812300392371565e-05,0.0,0.0,0.0,0.0004106214070626,0.0001140615019618,0.0001140615019618,0.0001140615019618,0.0067752532165343,0.0013231134227575,0.0045396477780819,0.0020531070353134,0.0145770599507254
1400,400,0.0,0.0,0.0,0.0,6.845407872219053e-05,4.563605248146036e-05,9.127210496292072e-05,0.0002281802624073,4.563605248146036e-05,2.2818026240730177e-05,0.0,0.0,0.0023730747290359,0.0053394181403308,0.0028522532800912,0.0104734740444951,4.563605248146036e-05,0.0001369081574443,0.0001369081574443,0.0001825442099258,0.0172047917855105,0.0201483171705647,0.0162920707358813,0.0406160867084997,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.2818026240730177e-05,6.845407872219053e-05,0.0001369081574443,9.127210496292072e-05,0.0003194523673702,0.0018482601254991,0.0024643468339988,0.0015744438106103,0.0041528807758128,0.00718767826583
1400,600,0.0,0.0,0.0,0.0,2.2823234052265207e-05,4.5646468104530415e-05,4.5646468104530415e-05,0.0002967020426794,0.0,2.2823234052265207e-05,0.0,9.129293620906084e-05,0.0006162273194111,0.0036517174483624,0.0010270455323519,0.0117767887709688,0.0,0.0,9.129293620906084e-05,0.0001825858724181,0.0029213739586899,0.0146525162615542,0.0049526417893415,0.0404199475065616,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.2823234052265207e-05,0.0,0.0001369394043135,2.2823234052265207e-05,0.0002054091064703,0.0003879949788885,0.0013465708090836,0.0004792879150975,0.0047700559169234,0.0042451215337213
1400,800,0.0,0.0,0.0,2.2889056741971663e-05,0.0,4.5778113483943327e-05,0.0,0.0003891139646135,0.0,0.0,0.0,2.2889056741971663e-05,0.0001144452837098,0.0026780196388106,0.0002288905674197,0.0140309917828286,0.0,6.866717022591499e-05,0.0,0.0002060015106777,0.0006637826455171,0.0086291743917233,0.0009155622696788,0.0300304424454668,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.5778113483943327e-05,0.0,0.0003662249078715,4.5778113483943327e-05,0.0010300075533887,0.0002060015106777,0.0043260317242326,0.0027237977522946
1400,900,0.0,0.0,0.0,2.281750559028887e-05,0.0,0.0001140875279514,0.0,0.000638890156528,0.0,2.281750559028887e-05,2.281750559028887e-05,0.0001369050335417,2.281750559028887e-05,0.0033085383105918,0.0002281750559028,0.0156756263405284,0.0,9.127002236115547e-05,0.0,0.0002053575503125,0.0003422625838543,0.0058412814311139,0.0005476201341669,0.0240724683977547,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.281750559028887e-05,0.0,0.0001140875279514,0.0,0.0004107151006251,0.0,0.0009583352347921,4.563501118057774e-05,0.0031488157714598,0.0023045680646191
1400,1000,0.0,0.0,0.0,0.0,0.0,2.2819067612897336e-05,0.0,0.0005020194874837,0.0,4.563813522579467e-05,0.0,0.0002966478789676,6.845720283869201e-05,0.0030805741277411,0.0001597334732902,0.0181639778198662,0.0,2.2819067612897336e-05,2.2819067612897336e-05,9.127627045158934e-05,0.0001369144056773,0.0031946694658056,0.0001597334732902,0.0153572325034799,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.2819067612897336e-05,0.0,4.563813522579467e-05,0.0,0.0007302101636127,2.2819067612897336e-05,0.0006161148255482,6.845720283869201e-05,0.0021906304908381,0.0017114300709673
